ConductorName,MOT,RatingAmps,RatingMVA_69,RatingMVA_138
3/0 ACSR 6/1 PIGEON,75,308,36,73
3/0 ACSR 6/1 PIGEON,80,322,38,77
3/0 ACSR 6/1 PIGEON,85,335,40,80
3/0 ACSR 6/1 PIGEON,90,348,41,83
3/0 ACSR 6/1 PIGEON,95,359,42,85
4/0 ACSR 6/1 PENGUIN,75,346,41,82
4/0 ACSR 6/1 PENGUIN,80,362,43,86
4/0 ACSR 6/1 PENGUIN,85,376,45,90
4/0 ACSR 6/1 PENGUIN,90,390,46,93
4/0 ACSR 6/1 PENGUIN,95,402,48,96
336.4 ACSR 30/7 ORIOLE,75,531,63,127
336.4 ACSR 30/7 ORIOLE,80,562,67,134
336.4 ACSR 30/7 ORIOLE,85,590,70,141
336.4 ACSR 30/7 ORIOLE,90,617,73,147
336.4 ACSR 30/7 ORIOLE,95,642,76,153
556.5 ACSR 26/7 DOVE,75,721,86,172
556.5 ACSR 26/7 DOVE,80,764,91,182
556.5 ACSR 26/7 DOVE,85,804,96,192
556.5 ACSR 26/7 DOVE,90,842,100,201
556.5 ACSR 26/7 DOVE,95,877,104,209
795 ACSR 26/7 DRAKE,75,902,107,215
795 ACSR 26/7 DRAKE,80,957,114,228
795 ACSR 26/7 DRAKE,85,1009,120,241
795 ACSR 26/7 DRAKE,90,1057,126,252
795 ACSR 26/7 DRAKE,95,1103,131,263
954 ACSR 54/7 CARDINAL,75,986,117,235
954 ACSR 54/7 CARDINAL,80,1046,125,250
954 ACSR 54/7 CARDINAL,85,1101,131,263
954 ACSR 54/7 CARDINAL,90,1153,137,275
954 ACSR 54/7 CARDINAL,95,1202,143,287
1272 ACSR 45/7 BITTERN,75,1163,139,278
1272 ACSR 45/7 BITTERN,80,1236,147,295
1272 ACSR 45/7 BITTERN,85,1303,155,311
1272 ACSR 45/7 BITTERN,90,1366,163,326
1272 ACSR 45/7 BITTERN,95,1425,170,340
1590 ACSR 54/19 FALCON,75,1349,161,322
1590 ACSR 54/19 FALCON,80,1435,171,343
1590 ACSR 54/19 FALCON,85,1515,181,362
1590 ACSR 54/19 FALCON,90,1590,190,380
1590 ACSR 54/19 FALCON,95,1661,198,397
