name,p0_nominal
L0,79.16855842188887
L1,79.16855842188887
L2,22.449715637310824
L3,66.6940861878422
L4,66.6940861878422
L5,61.55373323091081
L6,61.55373323091081
L7,37.115631985604615
L8,45.596813320191096
L9,45.596813320191096
L10,39.31152063151065
L11,30.33683579094432
L12,36.65319025184859
L13,36.65319025184859
L14,36.65319025184859
L15,9.164731342559863
L16,9.164731342559863
L17,34.24357222290703
L18,34.24357222290703
L19,41.373297559306494
L20,62.562275466850174
L21,62.562275466850174
L22,62.562275466850174
L23,18.436384363974188
L24,14.05341211453691
L25,68.36277483934091
L26,47.41903156561382
L27,22.779066860376822
L28,22.779066860376822
L29,22.779066860376822
L30,37.984554516516816
L31,33.18072699761594
L32,33.18072699761594
L33,3.9578065149689263
L34,24.721468220118723
L35,24.721468220118723
L36,24.721468220118723
L37,6.035115842797133
L38,35.56755789530767
L39,35.56755789530767
L40,26.451438053552508
L41,15.840924769379694
L42,12.019109687588873
L43,6.634926889173118
L44,18.677507738451293
L45,12.882454241058802
L46,29.91863593956318
L47,6.552139432668407
L48,77.53275328917061
L49,77.53275328917061
L50,77.53275328917061
L51,77.53275328917061
L52,3.404518151713009
L53,36.157876671810165
L54,25.387605174656947
L55,29.081392765831467
L56,46.32323675623424
L57,0.4772254814924395
L58,0.4772254814924395
L59,4.291164992713804
L60,4.291164992713804
L61,29.43218130014647
L62,8.565488714149456
L63,64.9641361401465
L64,64.9641361401465
L65,52.514735725902234
L66,52.514735725902234
L67,53.65000000039047
L68,36.55672347808476
L69,36.55672347808476
L70,33.366553044153946
L71,12.794867163748732
L72,32.41829572561396
L73,23.084460430004867
L74,18.66197351533706
L75,18.66197351533706
L76,24.98092117427411
